Date,Price,Open,High,Low,Vol.,Change %
18/11/2019,19.10,20.16,20.16,18.85,3.90,-5.27%
17/11/2019,20.16,20.10,20.33,19.78,3.89,0.28%
16/11/2019,20.10,20.30,20.61,19.85,3.54,-0.99%
15/11/2019,20.31,21.21,21.23,20.07,3.78,-4.28%
14/11/2019,21.21,21.30,21.54,20.88,3.43,-0.46%
13/11/2019,21.31,20.89,21.65,20.66,3.76,2.00%
12/11/2019,20.89,20.11,20.89,20.06,3.30,3.89%
11/11/2019,20.11,20.42,20.60,19.81,2.98,-1.51%
10/11/2019,20.42,19.76,20.57,19.72,3.75,3.36%
09/11/2019,19.76,19.71,20.00,19.56,2.71,0.23%
08/11/2019,19.71,20.39,20.48,19.39,3.02,-3.37%
07/11/2019,20.40,20.65,20.77,19.96,3.31,-1.20%
06/11/2019,20.65,20.62,20.88,20.35,3.93,0.14%
05/11/2019,20.62,20.62,20.86,20.34,4.09,0.00%
04/11/2019,20.62,20.16,20.86,20.06,4.92,2.24%
03/11/2019,20.16,20.19,20.38,19.85,4.64,-0.15%
02/11/2019,20.19,19.90,20.30,18.92,5.22,1.48%
01/11/2019,19.90,19.85,19.98,19.62,3.07,0.26%
31/10/2019,19.85,19.90,20.25,19.30,4.37,-0.27%
30/10/2019,19.90,20.66,20.75,19.07,4.38,-3.68%
29/10/2019,20.66,19.89,21.14,19.80,5.84,3.83%
28/10/2019,19.90,19.29,21.09,19.27,6.62,3.09%
27/10/2019,19.30,18.93,19.61,18.52,5.45,1.96%
26/10/2019,18.93,18.60,19.66,18.06,5.38,1.77%
25/10/2019,18.60,16.90,19.02,15.68,6.62,10.05%
24/10/2019,16.90,16.73,17.01,15.65,3.58,1.06%
23/10/2019,16.72,18.20,18.21,16.28,4.11,-8.07%
22/10/2019,18.19,18.25,18.76,18.08,4.50,-0.32%
21/10/2019,18.25,18.47,18.47,17.94,3.58,-1.20%
20/10/2019,18.47,18.17,18.57,17.75,4.20,1.69%
19/10/2019,18.17,18.20,18.42,17.86,3.64,-0.19%
18/10/2019,18.20,18.51,18.74,17.71,3.84,-1.62%
17/10/2019,18.50,17.76,18.77,17.59,4.88,4.17%
16/10/2019,17.76,18.44,18.58,17.44,4.43,-3.70%
